Shop / Listing,Listing Age (Days),Total Views,Daily Views,Est. Sales,Price,Est. Revenue,Hearts
"HappyDownloads:Digital Planner 2025 2026 Undated Digital Planners Goodnotes Planner iPad Planner Daily Planner Weekly Planner Digital Journal ADHD Planner
Goodnotes Planner, Digital Planner iPad, iPad planner, digital planners, good notes planner, undated planner, digital planner, daily planner, digital journal, adhd planner, weekly planner, goodnotes template, 2025 digital planner",2338,1573376,673,29579,$29.18,"$863,237",36848
"ThissPlanner:2025 Digital Planner, Dated Planner, 2025 Year Journal, Weekly Planner, Daily Planner, GoodNotes Planner, Notability Planner, iPad Planner
digital planner, goodnotes planner, ipad planner, digital planning, dated planner, planner digital, digital planners, goodnotes template, daily planner, notability planner, 2025 digital planner, 2025 planner, 2025 digital journal",1705,332614,195.1,7550,$17.90,"$135,145",8186
"Plannerscollective:The Ultimate Notion Planner, Notion Template, Notion Planner, Notion Life Planner, Aesthetic Notion Planner, Light and Dark Themes
notion planner, notion template, aesthetic notion, that girl planner, notion calendar, notion free template, notion notes, notion student, notion life planner, notion create, notion finance, all in one notion, dark mode notion",479,225376,470.5,3628,$31.04,"$112,601",6666
"AuraPlannersCo:All-in-One Digital Planner 2025, 2026, Undated Digital Planner, Digital Journal, Digital Goodnotes Template, Notability, Daily Planner
goodnotes planner, goodnotes template, planner gift, notability planner, all-in-one planner, undated planner, digital ipad planner, goodnotes notebook, ADHD planner, daily planner, weekly planner, monthly planner, 2025 digital planner",435,574972,1321.8,29668,$3.60,"$106,805",14612
"PrioriDigitalStudio:Wedding Planner Spreadsheet Wedding Budget Tracker Wedding Timeline Checklist Guest List Tracker Wedding Itinerary Seating Plan Wedding Gift
Wedding Planner, Expense Tracker, Wedding budget, Wedding timeline, wedding checklist, seating chart, wedding itinerary, wedding schedule, wedding guest list, wedding to do list, honeymoon budget, pre wedding gift, digital planner",392,200730,512.1,4155,$21.67,"$90,054",5749
"phenixdigital:All-in-One Digital Planner 2025, 2026, 2027, Digital Planner, Digital Journal, Digital Goodnotes Template, Weekly, Daily Planner, Notability
2024 digital planner, ADHD planner, all-in-one planner, daily planner, digital ipad planner, goodnotes notebook, goodnotes planner, goodnotes template, monthly planner, notability planner, planner gift, undated planner, weekly planner",210,351794,1675.2,18152,$3.96,"$71,882",7938
"studiohellodays:HARDCOVER 280 PAGES Stardew Valley Planner / Game Guide - Checklists, trackers, calendars - Full Color Lay Flat Binding!
stardew, stardew valley, stardew planner, stardew journal, stardew tracker, stardew calendar, stardew checklist, sdv journal, sdv guidebook, stardew guide, sdv guide, stardew wiki, stardew gift",602,104179,173.1,948,$61.41,"$58,216",5057
"PrioriDigitalStudio:Project Management Tool for Small Business Project Planner Task Tracker To-Do List Template Gantt Chart Business Planner Kanban Board Excel
small business, Business tracker, Business planner, Project planner, to-do list template, project template, Task tracker, Gantt chart, kanban board, project plan tracker, project management, project schedule, business management",297,74341,250.3,1687,$18.06,"$30,470",2154
"ThePrintablePlans:Printable Health and Fitness Planner Bundle, Fitness Journal, Diet, Workout Trackers, Meal planner, Running Log, A4/A5/Letter/Classic/Half
Printable planner, Fitness journal, Meal planner, Diet planner, Health and fitness, Health journal, Workout planner, Fitness challenge, weight loss tracker, wellness planner, running tracker, a5 journal, 100 mile challenge",884,124956,141.4,6447,$4.00,"$25,788",3775
"HerStoryDigital:Digital Travel Planner Spreadsheet Template for Google Sheets: Vacation Budget Tracker, Trip Itinerary, Packing List, Checklist, Bucket List
Travel Planner, Vacation Planner, Trip Itinerary, digital trip planner, Travel Spreadsheet, Travel Budget, Google Sheets, Packing List, Trip Planner, Travel Checklist, Travel Organizer, Travel Packing List, expense tracker",590,48026,81.4,1589,$8.15,"$12,950",1524
"CalendarAndPlannerCo:2025 Year Planner Printable, Yearly Planning Calendar, Calendar Poster, 2025 Digital Calendar, 2025 Calendar, 2025 Planner, Year at a glance
2025, 2025 Year Planner, Printable, Yearly Planning, Calendar, Calendar Poster, Digital Calendar, 2025 Calendar, 2025 Planner, Year at a glance, Full Year Planner, One Page Year Plan, Annual Planner",497,45410,91.4,2343,$4.11,"$9,635",679
"AnaCreativeHouse:600 Page Canva Wedding Planner Template Bundle, Wedding Checklist, Engagement Party Binder,  Wedding Itinerary, Wedding Day Binder
digital planner, wedding checklist, wedding itinerary, wedding timeline, wedding shot list, wedding planning, guest list excel, wedding binder, wedding program, seating chart, wedding day binder, wedding planner, budget planner book",244,27420,112.4,688,$12.00,"$8,256",1069
"GirlGotGoals:2025 Digital Planner Bundle, Fitness Planner, Reading Journal, Budget Planner, Recipe Book, iPad  Planner, GoodNotes Planner
That Girl Planner, 2025 Digital Planner, Self Care Planner, GoodNotes Planner, It Girl Planner, iPad Planner, Digital Planner, 2025 Planner Bundle, Fitness Planner, Budget Planner, Reading Journal, Recipe Book, Planner Bundle",204,17703,86.8,366,$20.47,"$7,492",610
"KreatePaperCo:Weekly Planner Digital Download - Daily To Do List, Weekly Planner Printable, Undated Daily Planner, Minimalist To Do List, Desk Planner
Weekly Planner, Daily Planner, Weekly Notepad, Daily To Do List, Weekly To Do List, Undated Planner, Week Plan, Daily Task List, Printed Weekly Plan, Digital Planner, Planner Printable, Downloadable Planner, Planner Template",886,33126,37.4,1709,$4.00,"$6,836",1241
"JoyboundPlanners:2025 Digital Planner, Digital Weekly Planner 2025, GoodNotes Planner Template, Notability Planner, iPad Planner, 2025 Digital Calendar
Digital Planner, Weekly Planner, 2025 Planner, Goodnotes Planner, Notability Planner, iPad Planner, Tablet Planner, Digital Calendar, Minimalist Planner, Planner Templates, Landscape Horizontal, Digital Weekly, 2025 Weekly",193,15435,80,510,$9.99,"$5,095",448
