Shop / Listing,Listing Age (Days),Total Views,Daily Views,Est. Sales,Price,Est. Revenue,Hearts
"CreonLeatherCo:Birth Flower Name Journal, Gratitude Journal, Personalized Journal, Prayer Journal, Journal Personalized, Self Care Journal Wellness Journal
birth flower journal, dream journal, gratitude journal, leather journal, personalized journal, gratitude gift, bible study journal, bible study gift, personalized diary, engraved journal, birth flower gifts, birthday month gift, birthday gift",992,107923,108.8,2449,$17.40,"$42,613",2404
"PlainJane2424:Gratitude Seed Packets, Staff Appreciation Gift, Small Appreciation gift, Team Appreciation gift, Company gifts, Nurse Appreciation
Staff Appreciation, Nurse Appreciation, Gratitude Favors, Gratitude Gift, Wildflower Favors, Appreciation Gift, Small Thank you gift, Appreciation Favors, Staff Thank you, Thank you Gift, Custom Seed Packets, Seed Packet Gift, Thank you favors",1810,82427,45.5,2068,$12.50,"$25,850",1549
"BlissInfusions:CRYSTAL PEARL GRATITUDE Bracelets With Sterling Silver, Faith Bracelet, Count Your Blessings, Inspirational Gift
gratitude bracelet, count your blessings, pearl bracelet, sterling silver, handmade jewelry, faith bracelet, blessed bracelet, gratitude jewelry, faith gift, blessing bracelet, blessed jewelry, hallmark movie, mothers day gift",582,10470,18,196,$27.99,"$5,486",103
"PLANCONCEPT:Gratitude Journal Canva | Daily Gratitude Template | Self Care Planner | Daily Journal Template | Positivity, Affirmation, Motivation List
Canva Planner, Canva Template, Digital Planner, Journal Gratitude, Canva Journal, Positivity Planner, Motivation Planner, Habit Tracker, Wellness Planner, Planner Template, Journal Templates, Self Care Tracker, Affirmation Cards",1118,12934,11.6,428,$9.10,"$3,894",628
"MyPorchPrints:Cozy Gratitude Junk Journal Kit, Grateful, Planner, Thanksgiving, Neutral, Fall, Journal, My Porch Prints, Printable, Digital Download
Thankful, Grateful, Neutral, Fall, Journal, My Porch Prints, Printable, Digital Download, Junk Journal, Kit, Cozy, gratitude, Thanksgiving",563,14663,26,756,$4.99,"$3,772",700
"4etablets:For Remarkable 2 Gratitude Journal, Daily Gratitude Journal Template, Self-Reflection, Hyperlinked PDF, for Remarkable Templates
remarkable templates, remarkable 2, gratitude journal, gratitude template, hyperlinked journal', self reflection, positive thinking, Remarkable journal, Remarkable gratitude, PDF, journal, hyperlinked, planner",803,7978,9.9,264,$9.10,"$2,402",259
"denisealbrightstudio:Faith-Based Gratitude Journal with Scripture Verses | 52 Week Daily Inspirational Journal with 170 Stickers | Gratitude Finder®
gratitude journal, graditude, thankfulness, diary journal, journal for teens, daily gratitude, morning journal, happiness journal, gratitude diary, positivity journal, self help journal, scripture journal, prayer journal",1234,4696,3.8,106,$19.97,"$2,117",136
"SortedAndSimple:Digital Daily Journal Template for Goodnotes, Minimalist Gratitude Notebook, 365 Reflection Bullet Diary, Hyperlinked, iPad
reflection journal, tablet simple, minimalist journal, ipad planner, hyperlinked journal, gratitude journal, goodnotes journal, goodnotes template, digital notebook, digital diary, daily journal, bullet journal, 365 daily journal",509,9633,18.9,497,$3.98,"$1,978",376
"PlannedSplendor:Digital Gratitude Journal | Daily Gratitude Five Minute Reflection Journal for Mindfulness & Wellness | iPad, Android, Goodnotes, Notability
mental health, hyperlinked pages, minimalist journal, wellness diary, goodnotes notability, daily gratitude, mindfulness journal, gratitude journal, simple neutral notes, 5 minute journal, digital journal, ipad notebook, 2025 digital planner",816,10162,12.5,336,$5.00,"$1,680",330
"SaveTheDateShoppie:Personalized Thank You Seed Packets/Seeds of Gratitude/Baby Shower, Mothers Day Favor/Appreciation Gift/Gratitude Seed Packet/Realtor Gifts
Seed Packet Favors, Wildflower Seeds, Personalized Packets, Seed Envelopes, Seeds Included, Thank You Gift, Mother's Day Gifts, Seeds of Gratitude, Appreciation Gift, Baby Shower Favors, Staff Appreciation, Nurse Appreciation, Custom Party Gift",383,9712,25.4,501,$1.90,$952,242
"PlanRightCo:Digital Prayer Planner, Prayer Journal, Gratitude Journal, Daily Prayer Planner, Faith Planner Notebook, Prayer Journal Templates, Ipad Plan
Bible Study Guide, Bible Study Journal, Christian Journal, Daily Gratitude, Daily Prayer Journal, Digital Planner, Faith Based Journal, Gratitude Journal, Gratitude Tracker, Prayer Journal, Prayer Planner, Digital Faith",129,4520,35,233,$3.96,$923,138
"MerakiDesignsbyLisa:Gratitude Notecards, Thankful Notecards, Today I am Grateful For Cards, Today I am Thankful For Cards
grateful jar, thankful jar, gratitude jar, gratitude kit, blessings jar, blessings journal, blessings, memories, memories jar, new year resolutions, resolutions, gratitude cards, Blessings cards",1234,4257,3.4,140,$5.00,$700,141
"MyPorchPrints:Cozy Gratitude Scripture Tags, Junk Journal, Thanksgiving, Cozy, Tag, Bible, Journaling, Faith, My Porch Prints, Printable, Digital Download
Junk Journal, Thanksgiving, Cozy, Tag, Bible, Journaling, Faith, My Porch Prints, Printable, Digital Download, Cozy Gratitude, Scripture Tags, Prayer",558,5778,10.4,298,$2.20,$656,294
"TemplateLifeCo:Gratitude Planner, Gratitude Goodnotes, Gratitude Journal, Minimalist Planner, PLR Planner, Plr Journals, Done for you, Dfy Journal
plr planner, plr gratitude, resell planners, plr digital planner, plr journals, canva mental health, dfy, done for you, Gratitude Planner, Gratitude Goodnotes, Gratitude Journal, Minimalist Planner",537,1894,3.5,47,$12.88,$606,159
"MarvelsByMuse:Digital Gratitude Journal | Digital Journal, Daily Gratitude Journal, GoodNotes Journal, Mindfulness Journal, Mental Health, Self Care, iPad
Digital Journal, Daily Journal, Daily Gratitude, Gratitude Journal, Digital Gratitude, Goodnotes Planner, Ipad Planner, Mindfulness Journal, Wellness Journal, Daily Reflection, Manifest Journal, Guided Journal, digital stickers",167,2480,14.9,82,$5.46,$448,94
"Faithfilledliving:Gratitude Journal, Grace and Gratitude, Daily Journal, Christian Journal, Scripture Journal, Faith Based Gift, Christian Gift, Birthday Gift
Devotional, Devotional Journal, Journal, Faith, Christian, Christ, Grace, Gratitude, Faith Journal, Gratitude Journal, Christian Journal, Shanna Noel",1565,1021,0.7,23,$17.00,$391,37
"SelfHealersSocietyCo:Gratitude T-shirt, Grateful Tee, Gratitude Definition Short Sleeve, Mental Health Top, Positive Vibes TShirt
Gratitude T-shirt, Grateful Tee, Mental Health Top, Gratitude Definition, positive vibes shirt, inspirational tee, motivational shirt, grateful crewneck, thankful shirt, gratitude attitude, y2k short sleeve, Spiritual journey, healing",959,721,0.8,13,$29.99,$390,9
"LittleBirdieCanada:Daily Reflection Journal - PRINTABLE Gratitude Journal Page - Planner Page - Wellness Journal Page - Mental Health Journal - Daily Journal
bullet journal, planner template, bullet journal idea, printable tracker, mood tracker, monthly tracker, mental health, printable planner, daily reflection, gratitude journal, daily journal, daily update, feelings tracker",434,4928,11.4,254,$1.52,$385,291
"LittleBirdieCanada:Gratitude Bundle - PRINTABLE Journal Page - Gratitude Journal - Daily Reflection - Wellness Journal - Mental Health Journal Pages
bullet journal, planner template, bullet journal idea, printable tracker, mood tracker, monthly tracker, gratitude journal, gratitude planner, mental health, printable planner, printable gratitude, gratitude daily, printable agenda",128,2469,19.3,127,$2.53,$321,141
"PrintsFashions:AJ 11 Gratitude Black White T Shirt Match Martin GD Steppin - Bella Canvas Shirt
11 Gratitude hoodie, 11 Gratitude shirt, 2023 Air Jordan 11, air 11 Gratitude, AJ 11 Gratitude, Gratitude 11s, Gratitude 11s hoodie, Gratitude 11s shirt, jordan 11 Gratitude, jordan hoodie, jordan shirt, sneaker match shirt, sneaker tee",366,547,1.5,7,$40.80,$286,21
"Valscreativetherapy:Gratitude Game
Mental health, Mood improvement, Gratitude Exercise, Mental Health Skills",756,3835,5.1,79,$3.25,$257,8
"MiriCampbell:Self Discovery Collection, Gratitude Journal, Affirmation Cards, Habit Journal, Coaching CANVA Templates, Growth Mindset, Managing AnxietY
self discovery, canva templates, gratitude journal, mindset journal, stress journal, habit tracker, anxiety journal, self reflection, self sabotage, inner child journal, mindfulness journal, coaching journal, coaching templates",337,476,1.4,7,$33.16,$232,42
