Shop / Listing,Listing Age (Days),Total Views,Daily Views,Est. Sales,Price,Est. Revenue,Hearts
"BRANDcontent:Workbook Template Canva| Ebook Template Canva| Canva Worksheet| Ebook Digital Download| Workbook Journal| Coach Template| Workbook Download
Canva Coaching, Workbook Template, Coaching Template, Canva Templates, Coaching Worksheets, Canva Worksheet, Canva Workbook, Worksheet Template, Ebook Canva, Ebook Motivational, Workbook Planner, Workbook Printable, Workbook Download",563,35421,62.9,570,$30.71,"$17,502",1901
"ShopRShop:Fitness Ebook Template | Fitness Program Planner | Fitness Yoga Coach Template | Nutrition Coach | Workout Personal Training | Gym Packet
fitness program, fitness ebook, fitness template, fitness coach, nutrition coach, yoga ebook, gym packet, nutrition guide, fitness planner, workout template, workout guide, coaching ebook, personal training",739,31160,42.2,707,$19.00,"$13,433",1218
"PLRasset:Ultimate EBook PLR MRR Bundle Passive Income, PLR Mrr Digital Products, Master Resell Rights, plr ebook, Master Resell Rights Education, dfy
faceless reels, marketing bundle, master resell rights, mrr, mrr digital product, mrr educational, plr, plr bundle, plr digital product, plr ebook, ultimate faceless, digital product, ebook passive income",246,23132,94,247,$51.18,"$12,640",1081
"ShopRShop:Editable Workbook Template | Canva Coaching EBook Template | Lead Magnet | Course Guide | Life Coach | Business | Marketing Tool Handbook
Workbook template, handbook template, book template, course guide, coaching template, canva template, canva book, coaching ebook, business book, marketing template, ecourse template, coaching lead magnet, checklist template",1080,25217,23.3,572,$15.00,"$8,580",1284
"HostHavenDesigns:Canva E-book Template, Canva Workbook Template, Coaching Course Template, Lead Magnet Template, Course Creator Template, Canva Ebook
ebook template, workbook template, ebook cover, ebook pdf, ebook template canva, course creator, lead magnet template, course workbook, ebook digital, canva ebook, canva workbook, coaching template, course template",317,21277,67.1,534,$14.69,"$7,846",1241
"BrianaKdesigns:CROCHET PATTERNS + VIDEO Collection The Macchiato E-book 6 Crochet Patterns. Adult-Child Sweater, Poncho, Beanie, Tree Skirt, Ornament
crochet ebook, crochet collection, crochet sweater, crochet poncho, crochet pattern, crochet beanie, crochet hat, child sweater, crochet tree skirt, crochet coaster, crochet ornament, adult sweater, easy crochet",450,13031,29,127,$56.00,"$7,112",170
"PrettyBookmarked:flower insert for kindle | ebook accessories | real white flowers | gift for book lover | unique floral gift for her
kindle case, kindle insert, cute kindle insert, pressed flower gift, gift for book lover, ebook accessory, kindle accessory, pressed flowers, unique gift, reader gift, bookish, gift for her, flower kindle insert",388,16739,43.1,379,$18.50,"$7,012",829
"PLRTrends:PLR Bundle Buy my complete shop, Ebook + Video Courses, Master Resell Rights, MRR, Resale Rights, Digital Product, Digital Download
PLR Video Course, Private label rights, Master Reseller, MRR, Resell rights, Digital download, Digital products, Resale rights, reseller planner, PLR digital planner, PLR Bundle, PLR Ebooks, PLR Notion",601,20986,34.9,694,$6.48,"$4,499",539
"OurUpcycledLife:11 DIY Paint Recipes Ebook Chalk, Coffee, Texture  for Art & Decor
digital download, digital prints, painting, recipes, crafting, booklet, chalk paint, crafting supply, craft supplies, ebook, how to guide, paint recipes, homemade paint",972,17303,17.8,572,$7.58,"$4,335",316
"RonitGolan:Enigmatic circle canes, Polymer Clay Canes tutorial eBook PDF instructions Polymer Tutorial Fimo Cane Tutorial by Ronit Golan
cane tutorial, fimo tutorial, how to ebook, polymer tutorial, polymer ebook pdf, polymerclay tutorial, tutorial Ronit Golan, polymer clay ebook, clay tutorial, polymer clay, clay tutorials, millefiori tutorial, spiral cane tutorial",3178,10245,3.2,257,$13.90,"$3,572",418
"SLEEPHONEY:PLR EBOOKS Self Improvement Bundle/750 Digital Books With Resell Rights/Ebook Bundle/Personal Development/Digital Product Passive Income/MRR
ebook resell, goals, lead magnet, self development, personal develpment, motivational, ebook, self improvement, MRR, passive income, master resell rights, digital marketing, etsy digital product",221,20135,91.1,666,$5.02,"$3,343",666
"theGlowLifeBoutique:Spiritual Awakening Kit Spiritual Awakening Journal ebook Spiritual PLR Template Inner Child Energy Healing Spiritual Awakening Guide Coach
Spiritual Awakening, spiritual journey, spiritual digital, spiritual printable, spiritual ebook, Spiritual Journal, Self-Discovery Guide, Mindfulness Workbook, digital product plr, canva template, private label rights, inner child workshee, energy blocks",271,6811,25.1,170,$14.44,"$2,455",470
"DansteDesign:CANVA BOOK mockup, Canva Magazine Mockup, Canva Ebook Mockup, Canva Template, Minimalistic Mockup, A4 Mockup, US Letter Mockup, eBook Mockup
Etsy Seller Mockup, Etsy Business, CANVA BOOK mockup, Canva Ebook Mockup, Canva Template, eBook Mockup, Canva Magazine, Magazine Mockup, Etsy Listing, Etsy Mockup Template, Book Mockup, Magazine Mocpup, Minimalistic Mockup",793,13028,16.4,431,$5.69,"$2,451",883
"DigitalNookStudioCo:Ebook Template Canva Editable Lead Magnet Coaching Guide Book Course Creator Done for You Pink Modern Workbook Worksheet Digital Download
Ebook Template Canva, Workbook Template, Ebook Template, Course Template, Checklist Template, Brochure Template, Magazine Template, Ebook Cover, Coaching Templates, Blogger Template, Canva Ebook Template, Lead Magnet Template, Ebook Design",296,6815,23,171,$12.34,"$2,111",524
"ZakuroDesignStudio:Editable eBook Template Canva | 100 Page Marketing Workbook for Small Business Branding | Digital Download Magazine & Coaching Guide
ebook template canva, canva marketing, marketing template, small business ebook, digital download, canva branding, branding template, template coach, magazine template, workbook template, lead magnet template, life coach template, editable template",957,7186,7.5,237,$8.00,"$1,896",470
