Shop / Listing,Listing Age (Days),Total Views,Daily Views,Est. Sales,Price,Est. Revenue,Hearts
"TheLamare:Lamare Affirmation Cards for Women – Daily Positive & Mindful Words of Encouragement
affirmation cards, mindfulness cards, encouragement cards, gratitude cards, inspiration cards, daily affirmations, positive affirmation, mental health gift, thoughtful gift, self care gift, self love gift, positivity cards, affirmation card",1994,284667,142.8,5892,$22.95,"$135,221",16417
"IdeaSide:Custom Quote | Personalized Quote Sign, Motivational Quotes, Mindfulness Gift, Brainy Quote, Motivational Saying with LED Stand
Personalized Sign, Office Plate, quotes about life, motivational quotes, shakespeare quotes, quotes about art, mindfulness gift, Acrylic Plaque, brainy quote, motivational gift, Mentor Gift, motivational saying, custom quote",1161,120059,103.4,1572,$44.26,"$69,577",3964
"PlanRightCo:Digital Self Care Journal, Self Care Planner, Wellness Journal, Goodnotes Planner, Mental Health Mindfulness, Positivity Healing Self Love
digital journal, daily journal, digital self care, goodnotes journal, ipad journal, mental health, mindfulness journal, self care, self care diary, self care journal, self love journal, self-care, self-care planner",304,37495,123.3,1934,$3.96,"$7,659",899
"FloatingThistlePaper:Hardcover Journal, Journal, Lined Journal, Hardcover Journal Lined, Mindfulness Gift, Gift for Her, Simple Journal, Hardcover Notebook, Gift
Journal, Hardcover Journal, Lined Journal, Mindfulness Gift, Gift for Her, Simple Journal, Hardcover Notebook, Gift, Lined, Elegant Journal, Gift for Daughter, Gift for Girlfriend, Journaling",1615,10762,6.7,222,$22.00,"$4,884",574
"CounsellorCronan:DBT mega Bundle. Dialectical Behavior Therapy. Distress Tolerant Skills. Mindfulness Skills. Therapist Resources. Client Tools. Workbooks
dbt, trauma, wise mind, dbt house, mindfulness, therapy worksheets, therapist book, therapy planner, anxiety relief, coping strategies, counsellorcronan, interpersonal, school counsellor",270,8978,33.3,185,$21.66,"$4,006",412
"HandLetteredDesign:Daily Mindful Lettering Book: Peace & Calm Edition
lettering, calligraphy, hand lettering, mindful, hobby, craft, DIY, help me relax, mindfulness, mental health tools, help with anxiety, calming activities, lettering workbook",1262,7611,6,105,$38.00,"$3,990",239
"CounsellorCronan:Guided mindfulness cards, scripted meditation handouts, therapy office decor, therapy forms, therapy worksheets, counselling tools, SEL, CBT
affirmation cards, acceptance therapy, narrative therapy, counsellorcronan, ACT Therapist, coping skills, calming corner, EMDR, DBT, mindfulness tools, self esteem, therapy office decor, positive mindset",943,20637,21.9,683,$5.11,"$3,491",1573
"HanJanCrochet:CROCHET PATTERN / 9 Colourful Crochet Blanket Patterns ebook / beginner crochet blankets / mindful crochet patterns
ebook, crochet book, crochet pattern, afghan, crochet blanket, learn to crochet, bright crochet, crochet throw, mindfulness, HanJan Crochet, easy crochet, crochet home, home decor",1374,7079,5.2,160,$17.03,"$2,725",193
"TheVintageHammer:Sketchy Ass Energy Engraved Wood Shelf Sign, Aura & Self Care Quotes, Mindful Decor
meditate, Self care quotes, Zen room decor, Please be mindful, sketchy ass energy, mantras, law of attraction, uplifting quotes, daily affirmations, work quotes, southern charm, gifts, Empath",436,7085,16.3,177,$14.99,"$2,653",1211
"ChrissysSoapsandmore:Balance Candle - Crystal Candle - Sunstone Moonstone Candle - Herb Infused Candle - Mindfulness Gift - Good Vibes
Candle, Crystal Candle, Good Vibes, Meditation Candle, Yoga Candle, mindfulness gift, vegan candle, chakra, healing crystals, Herb Infused, Balance Candle, Sunstone, Moonstone",1712,6880,4,172,$13.95,"$2,399",454
"HandsomeFibers:Mindful SWIVEL Smart IC Cords Knitter's Pride - KnitPro
Knitter's Pride, Mindful, interchangeable, Swivel Cords, knitpro",1177,9462,8,313,$6.00,"$1,878",184
"PlannedSplendor:Digital Gratitude Journal | Daily Gratitude Five Minute Reflection Journal for Mindfulness & Wellness | iPad, Android, Goodnotes, Notability
mental health, hyperlinked pages, minimalist journal, wellness diary, goodnotes notability, daily gratitude, mindfulness journal, gratitude journal, simple neutral notes, 5 minute journal, digital journal, ipad notebook, 2025 digital planner",816,10162,12.5,336,$5.00,"$1,680",330
"PaulaCuoreShop:Dainty Evil Eye Bracelets
pulsera de la suerte, mal de ojo, string anklet, artisan jewelry, Adjustable bracelet, glam evil eye, Greek evil, minimal bracelet, good luck bracelet, Kabbalah bracelet, protection bracelet, evil eye bracelet, pulsera mal de ojo",1066,6246,5.9,206,$6.90,"$1,421",145
"BravoCreatives:Life Coach Carousel Instagram Post Templates Canva. Course Creator Social Media Designs. Neutral Coaching Insta Feed. Mindfulness Blogger IG
Instagram Carousel, Instagram Template, Coach Instagram, Coach Carousel, Coach Template, Life Coach Instagram, IG Post Design, Course Creator, Coach Social Media, Coach Insta Feed, Neutral Instagram, Mindfulness Insta, Coach Blogger Canva",903,4644,5.1,116,$11.37,"$1,319",298
"HandsomeFibers:Mindful Retractable Tape Measure Teal Knitter's Pride -KnitPro
Knitter's Pride, Mindful, Tape Measure, knitpro",1403,3712,2.6,122,$9.30,"$1,135",177
"PinkMonarchPrints:Mindfulness Journal For Kids, Digital Junk Journaling Words, Printable Journal Prompts, Journaling Prompts, Homeschooling Journal , Children
Junk Journaling, Journal Prompts, Kids Journals, Kids Journal Prompts, Mindful Kids, Journaling Prompts, Children Journals, Printable Journal Wo, Printable Words, Digital Prompts, Mindfulness Journal, For Kids",1699,6132,3.6,316,$2.99,$945,288
"GentleObservations:Decision Trees: Emotional Regulation Game for Teens and Children, Art Therapy Worksheets, Coping Skills, Mindfulness, Identifying Emotions
emotional regulation, art therapy game, coping skills teens, mindfulness for kids, identify emotions, therapy worksheets, art therapy sheets, school counselor, therapy games, group therapy, teen therapy, anxiety worksheets, social skills",311,4234,13.6,218,$4.00,$872,332
"SpiralsAndCircles:Pocket Labyrinth, Breathing Board, Finger Labyrinth, Finger Maze, Hand Labyrinth, Meditation Labyrinth,Mindfulness Tools,Stress Relief Tools
Pocket Labyrinth, Breathing Board, Finger Labyrinth, Finger Maze, Hand Labyrinth, Meditation Labyrinth, Mindfulness Tools, Stress Relief Tools, Wooden Maze, Handheld Labyrinth, Wooden Maze Toy, Wooden Labyrinth, Labyrinth Gifts",844,1568,1.9,25,$34.00,$850,120
"ZippyGrove:Printable Advent Calendar Cards Christmas Countdown Brainy Quotes Affirmation and Mindfulness Cards Unique Holiday Gift to Print
Brainy quote, Christmas countdown, Advent calendar kit, Advent calender, Advent calendar card, Mindfulness cards, Advent calendar kids, Advent printable, Advent cards, Advent calendar teen, Holiday countdown, Affirmation cards, Lunchbox notes",535,4196,7.8,138,$5.45,$752,172
"OceanPrintables:Health and Wellness journal, weight loss tracker, fitness log, mindfulness, self care planner, diet planner insert, for Wellbeing & Balance
wellness planner, self care monitoring, wellbeing journal, workout exercise log, personal progress, daily nutrition plan, mood tracker chart, mindfulness gifts, gratitude journal, fitness plan track, 2021 health planner, weight loss tracker, self reflection",2159,2769,1.3,69,$10.80,$745,240
"MugwortAndSage:The Wound is the Place Where the Light Enters You Shirt, Rumi Quote T-Shirt, Mindfulness Shirt, Rumi Poem Tee, Poetry T Shirt, Spiritual Tee
rumi quote shirt, wound is the place, wound is where light, rumi poem tee, poetry t shirt, mindfulness shirt, spiritual tee, poem lover gift, yoga quote shirt, healing quote tshirt, inspirational quote, literary t-shirt, uplifting quote tee",1533,1514,1,28,$25.49,$714,144
"HandsomeFibers:Mindful Rainbow Folding Scissors Knitter's Pride - KnitPro
Knitter's Pride, Mindful, Folding scissors, knitpro",1403,2531,1.8,83,$8.50,$706,97
"GentleObservations:Finger Tracing Calm Down Cards, Mindfulness, Calm Down Corner Flash Cards, Meditation Activity, Regulating Feelings, Self-Soothing Cards
Growth mindset, school counselor, play therapy, regulating feelings, meditation, mindfulness activity, calm down corner, psychologist, zones of regulation, sel, emotional learning, breathing exercise, emotional awareness",1176,4203,3.6,216,$3.00,$648,347
"TheThriveSociety:MRR PLR eBook Mental Health, Mindfulness eBook Private Label Rights, Master Resell Rights, Done for You Lead Magnet Mindfulness Meditation
Done For You Ebook, Master Resell Rights, Mental Health Ebook, Private Label Rights, Canva Template, Coaching Templates, Brandable Ebook, mrr plr ebook, mindfulness guide, mindfulness ebook, plr meditation dfy, plr digital products, self help guide mrr",306,1986,6.5,65,$8.36,$543,191
"DaysAndColours:Daily Check-in Poster, School Counselor, Mindfulness, Self-care, Therapy Office Decor, Mental Health Poster, Digital Download
growth mindset, school psychologist, therapy print, counselor poster, psychotherapy, daily affirmations, coping strategies, self esteem poster, calming corner, mental health, Mindfulness, self-care, Daily Check-in",566,2141,3.8,70,$6.23,$436,186
"KsanaKalpa:WILLIAM JAMES QUOTE, william james, therapy decor, office art, therapist decor, counseling, mental health, psychologist, mindful quotes
therapy office decor, therapist decor, counselling office, social work, mental health, psychologist, counsellor, office decor, office wall art, william james, psychology, quotes, mindfulness",1143,1886,1.7,62,$6.87,$426,142
"NohemnByNohelia:Light pink heart necklace, delicate pink pendant necklace, wifey necklace, gold short necklace, 1st mothers day, mindfulness gift.
pink heart necklace, wifey necklace, gold short necklace, tiny heart necklace, engagement gift box, soul sister gift, 3rd anniversary gift, mindfulness gift, 8th anniversary gift, expecting mom gift, bride to be gift box, pastor wife gift, 1st mothers day",1980,609,0.3,8,$39.88,$319,62
"NeatAndTidyDesign:Mindful Eating Journal - Fillable - Printable PDF - Daily Food Journal - Health & Fitness - Instant Download
neat and tidy, printable journal, neat and tidy design, self-improvement, fitness planner, health tracker, healthy eating habit, healthy eating, mindful eating, mindful meal journal, food journal, daily food log, eating tracker",964,1117,1.2,57,$4.00,$228,27
"YogiYardSale:Tonglen Tibetan Buddhist Mantra T-shirt for Spiritual Awakening, Yoga Meditation Gift, Mindfulness Wisdom Dharma Zen Tee, Unique Tshirt
tonglen tshirt, buddhist tshirt, buddhist gift, meditation gift, yoga gift, dharma tee, spiritual tshirt, mindfulness gift, zen tshirt, tibetan wisdom, unique yoga tee, awakening tshirt, compassion shirt",188,501,2.7,11,$18.95,$208,23
"MyVinylStoryDecor:There is no Path Buddha Wall Decal Quotes Inspirational Stickers Mindfulness Decor Spiritual Meditation Yoga Studio Decoration Home
buddha wall decal, buddha quotes, buddha words, inspirational, wall decals, stickers, mindfulness decor, yoga studio, meditation quotes, thoughtful gift, contemporary, wall decor, positive wall",663,453,0.7,10,$16.97,$170,47
