Shop / Listing,Listing Age (Days),Total Views,Daily Views,Est. Sales,Price,Est. Revenue,Hearts
"WonderfulDesignSale:New Aunt Svg Png, Auntie Svg Png, Aunt Svg Png, Auntie Sweatshirt Svg, Svg for Cricut, Auntie Shirt Svg, Auntie Silhouette Svg, Auntie Shirt
Auntie Silhouette, Auntie Shirt, Auntie Tshirt, Birthday Girl, Funny Aunt Svg, Auntie Svg, Auntie Shirt Svg, Aunt Shirt Svg Png, New Aunt Svg Png, In my Auntie Era Svg, Auntie Svg Png, Aunt Svg Png, Aunt Shirt Svg",1,0,0,0,$1.85,$0,0
"MinartV:Angel and Devil Skull Svg Dxf Png Pdf, Gothic Skull Clipart, Tattoo Style Design, Cricut Silhouette Instant Digital Download
skull svg file, gothic clipart, angel skull svg, devil skull svg, tattoo svg design, skull cut file, spooky svg, digital skull art, skull decal svg, angel devil art, cricut skull svg, skull silhouette, halloween svg file",1,0,0,0,$3.00,$0,0
"creativearslan:Slow Ride Fast Vibes Shirt, Raccoon Shirt SVG, Cowboy Raccoon Turtle Graphic Tee, Funny Animal Hustle Shirt, Western Rodeo Cowboy Shirt
cowboy raccoon svg, funny animal svg, western cowboy shirt, no rush just hustle, cute cowboy svg, cowboy turtle shirt, hustle vibes shirt, rodeo cowboy shirt, funny western svg, slow ride shirt, raccoon turtle svg, slow ride fast vibes, Raccoon Svg",1,0,0,0,$3.98,$0,0
"21Vector:Charger 1975 Car Silhouette SVG PNG for cutting, print, cricut, sticker
car, svg, lineart, cutting, print, simple, engrave, shiluete, cricut, vector, charger, classic car",1,0,0,0,$2.97,$0,0
"ibinpen:Eagles SVG, Eagles PNG, Eagles SVG Cricut, Eagles Cutfile, Eagles Head Silhouette, Eagles School Mascot, Eagles Sublimation, Logo, T-Shirt
American, Football, Mascot School, Eagles SVG, Eagles Cricut, Eagles Cutfile, Eagles Mascot, School Mascot, Eagles Bundle, Eagles Cheer, Eagles PNG, Eagles Vector, Eagles",1,0,0,0,$1.42,$0,0
"CraftyFusionArt:Custom Mom Grandma EST 2025 SVG PNG Bundle, Personalized Mother's Day Shirt Design, Cricut Cut File, Digital Download, Sublimation
custom mama est svg, custom mama est png, mama iron on, mama sleeve design, custom mama est dtf, custom mama est dtg, mimi shirt png, nana shirt png, happy mothers day, grandma png, png for mothers day, custom mama png, new mom png",1,0,0,0,$4.50,$0,0
"MinartV:Archery Hunter American Flag SVG, Bow Hunting Patriotic Digital Download, Hunting Silhouette Design for Cricut & Laser Cut Files
archery svg, hunter svg, bow hunting file, usa flag hunting, patriotic svg, hunting silhouette, bow hunter svg, archery cut file, hunting clipart, hunter digital file, hunting art svg, american hunter svg, hunter laser file",1,0,0,0,$3.00,$0,0
"JuicyJoySVG:In My Fighting Era Svg, Aphasia Awareness Svg Png, Gray Ribbon Svg, Aphasia Support Svg
Aphasia Awareness, Aphasia svg, Aphasia png, Aphasia warrior svg, Aphasia support svg, Aphasia ribbon svg, gray ribbon png, we wear gray svg, Aphasia survivor svg, Aphasia shirt svg, svg file for cricut, svg design space, sublimation design",1,0,0,0,$5.00,$0,0
"Vavdigital:Blue Dog and Friends Svg,Easy to use,Cartoon Characters Cliparts,Layered Svg by colors,Transparent Png,Cut files for Cricut,Blue Dog Birthda
Bluey Svg, Bluey Birthday svg, Bluey Shirt png, Blue Dog Bundle, bluey bingo svg, bluey bingo png, bluey characters svg, bluey bingo bundle, bluey clipart, bluey family svg, Cartoon Clipart, clipart files, bluey family trip",1,0,0,0,$7.00,$0,0
"KMSupplies:raiders typography, raiders cheer svg, raiders volleyball svg, raiders soccer png, raiders volleyball svg, mascot hand lettered design, png
raiders typography, raiders name png, raiders svg file, raiders shirt png, raiders png file, raiders vector, raiders cheer svg, raiders cheer png, raiders football svg, raiders laser files, svg raiders, raiders cricut svg, cricut raiders svg",1,0,0,0,$7.98,$0,0
"Graphicsgully:Mandala Starfish Suncatcher Svg | Starfish Suncatcher | Beach Summer Themed Decoration | Glowforge Cut File | SVG, DXF, PDF | Digital File
Laser cut file, Suncatcher Laser Cut, Glowforge cut file, Wood design, Suncatcher Hanger, Nature inspired, Glowforge Decor svg, Coastal Ornament svg, Tropical Suncatcher, Beach Theme Decor, Mandala Starfish SVG, Laser Cut Beach svg, sea creature svg",1,0,0,0,$5.00,$0,0
"UniqueFootprintSVG:And This Is Why I Wanted to Stay Home SVG - Funny Introvert SVG - Sarcastic Shirt Design - Cricut Cut File - Gift for Her
stay home svg, introvert svg, funny introvert svg, and this is why, funny shirt svg, wanted to stay home, sarcastic svg, funny quote svg, introvert shirt svg, homebody svg, cricut cut file, funny women svg, and this is why i",2,0,0,0,$3.99,$0,0
"WoodwordDesignStudio:Custom Wedding Cake Toppers Gold Cake topper for Wedding Rustic Wedding Cake Toppers Custom Initials Wedding Decorations Cake Topper
wedding cake topper, Couple cake topper, Cake Charm, rustic cake, Custom Cake Topper, Gold Cake Topper, Standing Cake Topper, Last Name Wedding, Mr Mrs Cake Topper, Custom Wedding, Engagement Cake Top, Modern Wedding Decor",9,20,2.2,0,$6.62,$0,1
"svgpngdesignwithme:Phillies png, Phillies svg, Philadelphia, Digital Download
phillies svg, phillies png, philadelphia fan, phillie, philly svg, city connect, philly, harper, baseball, phillies tshirt png, phillies shirt png, phillies baseball, bird gang",9,10,1.1,0,$2.28,$0,2
"Artpixi:Volleyball svg, Volleyball team template, Volleyball team shirt, Custom Mascot Volleyball svg, Volleyball Mom, Team logo svg, gift for her
volleyball team svg, volleyball template, volleyball logo svg, custom volleyball, volleyball mom svg, sports mom svg, gift for mom dad, volleyball shirt, varsity svg, svg file for cricut, mascot volleyball, mascot custom svg, retro volleyball svg",14,4,0.3,0,$3.40,$0,2
"OhItsAVector:Mets logo alternatives svg, png, dxf, psd, tif files for t-shirts, mugs, embroidery, engraving, etching, bags, phone cases, shoes, glassware
mets logo, mets svg, mets vector, mets png, mets dxf, mets tif, mets psd, mets logo for tshirt, mets logo for mug, mets logo for case, mets logo engraving, mets logo embroidery, mets logo glassware",15,145,9.7,7,$3.81,$27,6
"Lapeticrafter:Easter Bunny Svg Bundle | Pastel Bunny Silhouettes | Cute Rabbit Cut Files | Baby Easter Svg | Spring Bunny Tail Svg | Kids Bunny Back Svg
easter bunny svg, baby easter svg, bunny tail svg, bunny with heart svg, cricut easter svg, easter bunny bundle, spring bunny svg, bunny back svg, easter shirt design, silhouette bunny svg, kids easter bunny, rabbit cut files, fintu collection",15,43,2.9,2,$1.71,$3,5
