Shop / Listing,Listing Age (Days),Total Views,Daily Views,Est. Sales,Price,Est. Revenue,Hearts
"ZebraPress:SILKA I Mega CANVA Complete Branding Kit, Logos, Social Media posts, Client Forms, Business Stationary, 70+ DIY Easy to Use Modern Templates
editable, minimalist, modern, business kit, branding kit, large bundle, social media, printable, template, business card, business logo, instagram highlights, canva template",1557,75577,48.5,1042,$37.14,"$38,700",3882
"HostHavenDesigns:Canva E-book Template, Canva Workbook Template, Coaching Course Template, Lead Magnet Template, Course Creator Template, Canva Ebook
ebook template, workbook template, ebook cover, ebook pdf, ebook template canva, course creator, lead magnet template, course workbook, ebook digital, canva ebook, canva workbook, coaching template, course template",317,21277,67.1,534,$14.69,"$7,846",1241
"DesignTemplates87:Canva, Printable Mini Tooth Fairy Set Pink with envelope, receipt and fairy letter, Instant Download and fully editable tooth fairy set
Mini tooth fairy, tooth fairy set, printable, tooth fairy receipt, lost tooth, tooth fairy report, print at home, small envelope, mini envelope, tiny, tooth fairy, pink tooth fairy, canva",356,27564,77.4,1422,$3.32,"$4,716",1173
"SimplifyMySocials:Menopause Toolbox, Canva Templates, Menopause Worksheets, Journal and Workbooks, Instagram Post Templates, Hormone Health Symptom Tracker
Menopause Templates, Canva Templates, Coaching Toolkit, Menopause Journal, Symptom Tracker, Hormone Health Tools, Menopause Workbook, Health and Wellness, Coaching Resources, Planners Trackers, Instagram Posts, Nutrition Coach, Holistic Health",180,7431,41.3,72,$59.68,"$4,297",354
"MikanDigitalDesigns:Editable Adoption Profile Template Canva, Modern Customisable Canva Template, Printable Adoption Profile Book Template
adoption, adoption profile, template, adoption template, modern adoption, editable profile, canva template, parent profile, parent booklet, adoption booklet, family profile, adoption agency, profile book",1325,7354,5.6,118,$30.66,"$3,618",164
"PastelDigiCo:Instagram Business Cards DIY Canva Digital Business Card Beauty Templates IG Business Card Pink Business Cards IG Influencer Cards
instagram card, ig business card, business card, diy business cards, pink and black card, influencer card, business card design, QR business card, social media card, beauty business card, lash business card, hair business card, business card canva",426,15362,36.1,792,$3.98,"$3,152",649
"Malunio:Personalized Playing Card Design Template - Editable Canva Template - Custom Gift Idea - Unique Couple Gift For Him or Her - Custom Wall Art
custom gift, personalised gift, anniversary gift, gift idea for her, couples gift, personalized print, custom photo print, engagement gift, unique gift idea, gift for her, canva template, custom wall art",294,8776,29.9,220,$13.65,"$3,002",684
"POPPCREATIVEDESIGNS:6 Canva Editable Memorial T-Shirt Designs template bundle that can only be edited in Canva
CANVA TEMPLATES, SUBLIMATION DESIGNS, MEMORIAL DESIGNS, DIGITAL DESIGNS, DESIGN BUNDLES, T SHIRT DESIGNS, CANVA EDITABLE, DIGITAL DOWNLOADS, TEMPLATES, EDITABLE TEMPLATES, CANVA, DESIGNS, MEMORIAL TEMPLATE",336,9683,28.8,320,$6.99,"$2,237",321
"MarieThomasPaperie:200+ Page Canva Wedding Planner Template Bundle, Editable Wedding Planning Book, Wedding Checklist Binder, Printable Wedding Planner - Rylie
instant download, editable template, wedding planner, wedding binder, wedding checklist, wedding planning, wedding timeline, digital planner, printable planner, wedding itinerary, editable planner, canva template, planner template",529,28987,54.8,1495,$1.32,"$1,973",793
"OtoStudio:Graduation Announcement Template - Canva Photoshop photo card template - INSTANT DOWNLOAD - Simple Classic CG101
psd, card template, photographer, photoshop, photo template, graduation, announcement, invitation, printable, boy graduation, class of 2022, Canva template, canva design",2551,6573,2.6,217,$8.00,"$1,736",421
"Templeted:Tumbler Template Bundle, Canva Editable Template For Sublimation Tumblers
rug tumbler template, Canva Tumbler, canva editable file, canva glass template, sublimation template, tumblercanvaeditable, 40oz canva Tumbler, tumbler template, Tumblercanvatemplate, 20oz libbey canva, tumbler pack, tumbler bundle",252,7469,29.6,385,$4.30,"$1,656",161
"DigiPax:100 Nutrition Coach Reels Templates, Editable Canva Social Media Videos, Neutral Aesthetic Instagram Reels for Health & Wellness Coaches
nutrition coach, nutrition reels, reels template, Instagram reels, wellness reels, health coach, diet tips reels, nutrition video, wellness videos, dietitian reels, video template, healthy eating reels, canva reels healthy",142,3684,25.9,92,$14.78,"$1,360",332
"CreativeMockupArt:40x Custom Bootleg Rap Tee Canva Template, Editable Bootleg Shirt, Custom Photo Birthday Concert Shirt, Viral Sublimation T shirt Design
Bootleg Shirt, Bootleg Rap Tee, Rap Tee Template, Custom Bootleg Shirt, Girlfriend T Shirt, Canva Template, Custom Rap Tee, DIY Bootleg Designs, Bach Party Shirt, Photo template Canva, Bootleg Shirt png, CustomTshirtdesign, Picture shirt png",184,11859,64.5,611,$2.10,"$1,283",573
"Craftygalkate:NEW Birthday Magazine CANVA template DIY customizable birthday card for best friend, sister, diy mothers day gift ideas, thoughtful unique
canva, diy birthday, birthday gift, mothers day, gifts for mom, thoughtful gifts, birthday, magazine, template",369,4619,12.5,115,$11.11,"$1,278",78
"CateCreatesPrintable:Ebook Canva template, Ebook template, Workbook template, Course creator ebook, Ebook template Canva, Workbook template, Coaching worksheets
Ebook Canva template, Ebook template, Course creator ebook, Ebook template Canva, Coaching worksheets, Workbook template, Workbook templates, Pink ebook, Colorful ebook, pastel ebook, Coach ebook, Workbook Canva, Ebook cover",159,3715,23.4,93,$12.00,"$1,116",263
"DesignAndCrafty:43 Canva Editable Label Template Bundle, Dashleigh Small Bottle, Wine Bottle Label, Lip Balm Label, Canva Label Frame, Apothecary Jars Label
Canva label bundle, canva editable file, tumbler template, canva glass template, DashleighSmallBottl, sublimation template, Apothecary Jars, 16oz Full Wrap, Lip Balm Labels, Label Frames, labelstemplatebundle, 8oz Can Label, ashleighRollerBottle",261,6571,25.2,217,$5.00,"$1,085",336
"MDigitalPrints:Shelf Pricing Tags Editable Canva Template, Retail Price Tags, Custom Large White Price Label, Printable Product Pricing Labels for Store
price tags, pricing tags, price labels, pricing labels, editable price, price tags template, product price tags, product pricing tags, Retail Price Tags, Large white prices, price sign, canva price tags, store price labels",677,6134,9.1,203,$5.00,"$1,015",73
"TengoUnPlan:Curso Intensivo de Canva / Canva Masterclass / Derechos de reventa / Guía de Canva con Tutorial / Guía Canva PLR & MRR
curso canva, guia de canva, canva guide, canva curso mrr, plr mrr reseller, canva how to, plantilla canva, derecho reventa, guide to canva, canva, how to guide, plr canva, mrr canva",223,3494,15.7,87,$10.24,$890,178
